Horaire,Disponible,Statut
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"13:30 - 14:00","NON",""
"14:00 - 14:30","NON",""
"14:30 - 15:00","NON",""
"15:00 - 15:30","NON",""
"15:30 - 16:00","NON",""
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"13:00 - 13:30","NON",""
"13:30 - 14:00","NON",""
"14:00 - 14:30","NON",""
"14:30 - 15:00","NON",""
"15:00 - 15:30","NON",""
"15:30 - 16:00","NON",""
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"13:00 - 13:30","NON",""
"13:30 - 14:00","NON",""
"14:00 - 14:30","NON",""
"14:30 - 15:00","NON",""
"15:00 - 15:30","NON",""
"15:30 - 16:00","NON",""
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"13:00 - 13:30","NON",""
"13:30 - 14:00","NON",""
"14:00 - 14:30","NON",""
"14:30 - 15:00","NON",""
"15:00 - 15:30","NON",""
"15:30 - 16:00","NON",""
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"13:00 - 13:30","NON",""
"13:30 - 14:00","NON",""
"14:00 - 14:30","NON",""
"14:30 - 15:00","NON",""
"15:00 - 15:30","NON",""
"15:30 - 16:00","NON",""
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"13:30 - 14:00","NON",""
"14:00 - 14:30","NON",""
"14:30 - 15:00","NON",""
"15:00 - 15:30","NON",""
"15:30 - 16:00","NON",""
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"13:30 - 14:00","NON",""
"14:00 - 14:30","NON",""
"14:30 - 15:00","NON",""
"15:00 - 15:30","NON",""
"15:30 - 16:00","NON",""
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"13:30 - 14:00","NON",""
"14:00 - 14:30","NON",""
"14:30 - 15:00","NON",""
"15:00 - 15:30","NON",""
"15:30 - 16:00","NON",""
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"13:30 - 14:00","NON",""
"14:00 - 14:30","NON",""
"14:30 - 15:00","NON",""
"15:00 - 15:30","NON",""
"15:30 - 16:00","NON",""
"07:30 - 08:00","NON",""
"08:00 - 08:30","NON",""
"08:30 - 09:00","NON",""
"09:00 - 09:30","NON",""
"09:30 - 10:00","NON",""
"10:00 - 10:30","NON",""
"10:30 - 11:00","NON",""
"11:00 - 11:30","NON",""
"11:30 - 12:00","NON",""
"12:00 - 12:30","NON",""
